ID ребёнка;ID доброго дела
21;3
2;2
34;9
5;6
17;8
41;10
35;7
29;3
5;11
37;6
10;11
18;10
43;5
41;11
45;8
33;10
5;10
32;1
29;3
42;11
24;10
45;5
24;3
30;6
30;7
2;7
5;6
10;3
3;9
22;6
15;8
6;4
21;1
22;11
24;1
13;3
4;5
15;3
42;7
27;10
39;12
9;1
17;11
8;2
29;10
31;10
47;11
1;7
26;6
20;6
25;1
32;12
26;8
24;11
20;11
13;5
7;1
34;11
42;5
34;7
17;4
14;5
9;3
28;9
35;6
21;10
16;8
46;1
15;3
3;12
27;1
43;7
4;8
26;10
21;10
33;1
50;4
11;8
23;8
35;10
38;11
46;3
37;12
42;7
43;7
16;6
18;8
31;5
21;8
19;7
43;9
4;12
16;12
37;8
20;8
27;6
38;7
9;9
22;4
21;6
4;11
1;10
24;1
9;9
47;7
29;5
43;6
42;2
28;4
49;12
4;12
13;3
47;6
41;10
4;12
12;12
25;3
2;5
11;11
49;10
1;12
9;11
33;8
50;4
21;5
18;2
50;10
31;7
41;4
31;4
48;3
2;5
12;5
43;7
42;1
4;11
21;5
32;11
17;1
46;8
16;5
22;7
8;8
16;3
38;3
40;5
3;1
50;2
45;9
26;11
26;11
18;7
33;10
9;1
13;8
46;11
12;2
1;3
18;7
37;7
7;11
2;12
44;5
12;11
31;7
36;9
2;6
8;12
13;1
34;4
45;4
25;5
35;1
8;4
46;4
7;9
38;10
3;9
7;8
34;3
38;7
12;6
47;8
18;2
15;1
35;7
29;11
2;2
28;8
49;6
30;6
43;9
1;8
6;8
14;6
14;3
50;12
50;12
22;6
49;3
