ID ребёнка;ID пакости
36;12
42;3
39;7
43;7
7;5
35;13
44;13
3;12
12;6
29;5
48;11
1;12
32;4
18;14
48;6
9;7
43;1
32;13
19;12
12;9
22;6
44;7
46;11
16;5
34;14
33;12
43;1
43;7
27;14
16;1
44;3
31;12
15;13
32;14
14;11
10;10
45;12
35;10
18;14
35;4
15;6
23;1
46;10
37;10
2;12
32;15
1;11
5;12
15;16
31;11
36;9
22;13
48;9
39;12
41;10
18;9
49;9
44;5
49;6
38;15
8;1
3;3
26;15
32;8
18;3
40;9
26;9
26;4
50;14
18;13
13;10
36;9
26;8
37;7
11;6
13;13
38;15
25;11
8;11
22;15
21;4
16;2
19;1
27;15
29;2
39;12
15;7
5;4
5;9
3;10
1;7
44;8
27;11
31;2
26;15
50;1
5;16
18;14
7;15
38;3
13;11
28;14
31;4
16;9
5;2
20;6
11;9
6;16
14;11
44;6
6;5
17;12
24;13
4;6
19;3
8;4
38;3
36;14
42;8
43;12
1;15
23;5
26;12
10;9
16;1
44;4
22;9
48;1
47;13
8;6
16;10
24;15
3;3
43;3
36;9
12;14
4;11
16;11
39;5
16;2
5;9
31;11
26;15
2;2
14;14
36;1
5;2
17;7
20;16
39;15
30;4
25;15
1;15
15;5
11;3
26;13
20;13
39;13
20;14
35;2
38;12
5;9
14;16
13;11
2;13
11;9
18;7
11;14
45;4
38;4
49;1
37;2
45;9
24;12
32;7
1;11
28;1
7;16
24;12
5;8
32;5
32;7
27;9
21;2
46;14
26;2
10;14
4;2
36;5
19;14
11;12
23;13
34;3
42;15
4;5
17;5
15;12
29;12
13;14
